HCLk-014.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
289;2,2817;;;;;;;;;;;;;;;
290;2,278;;;;;;;;;;;;;;;
291;2,2752;;;;;;;;;;;;;;;
292;2,2719;;;;;;;;;;;;;;;
293;2,2674;;;;;;;;;;;;;;;
294;2,2644;;;;;;;;;;;;;;;
295;2,2614;;;;;;;;;;;;;;;
296;2,2574;;;;;;;;;;;;;;;
297;2,2545;;;;;;;;;;;;;;;
298;2,2495;;;;;;;;;;;;;;;
299;2,2464;;;;;;;;;;;;;;;
300;2,2439;;;;;;;;;;;;;;;
